名前,Player1,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,2 回,,,06,ツモ,2 回,50.00%,2 位,,0,±0,,東1局,-1000,2 回,-2000
総局数,20 回,,,41,天和,2 回,50.00%,1 位,,1,-15.0,,東2局,-1000,2 回,-2000
通算スコア,-30.0,,,01,立直,0 回,0.00%,3 位,,2,-30.0,,東3局,+1100,2 回,2200
平均スコア,-15.00,,,02,一発,0 回,0.00%,3 位,,,,,東4局,-7000,2 回,-14000
平均順位,3.00 位,,,03,ドラ,0 回,0.00%,8 位,,,,,南1局,-16000,2 回,-32000
1位,0 回,0.0%,,04,裏ドラ,0 回,0.00%,7 位,,,,,南2局,+32000,2 回,64000
2位,0 回,0.0%,,07,平和,0 回,0.00%,3 位,,,,,南3局,-18100,2 回,-36200
3位,2 回,100.0%,,08,一盃口,0 回,0.00%,3 位,,,,,南4局,±0,2 回,0
4位,0 回,0.0%,,09,タンヤオ,0 回,0.00%,3 位,,,,,,,,
連対,0 回,0.0%,,10,役牌,0 回,0.00%,3 位,,,,,起家,スコア,回数,合計
ふっとび,0 回,0.0%,,11,海底摸月,0 回,0.00%,1 位,,,,,東家,-15.00,2 回,-30
ふっとばし,0 回,0.0%,,12,河底撈魚,0 回,0.00%,3 位,,,,,南家,±0,0 回,0
逆転,0 回,0.0%,,13,嶺上開花,0 回,0.00%,3 位,,,,,西家,±0,0 回,0
リーチ,4 回,20.0%,,14,槍槓,0 回,0.00%,1 位,,,,,北家,±0,0 回,0
副露,0 回,0.0%,,15,ダブル立直,0 回,0.00%,1 位,,,,,,,,
リーチ成功,0 回,0.0%,,16,一気通貫,0 回,0.00%,3 位,,,,,相手,スコア,回数,合計
副露成功,0 回,0.0%,,17,チャンタ,0 回,0.00%,3 位,,,,,Player2,-96.30,2 回,-192.6
アガリ,4 回,20.0%,,18,三色同順,0 回,0.00%,3 位,,,,,Player3,-46.10,2 回,-92.2
ツモ,4 回,100.0%,,19,三色同刻,0 回,0.00%,1 位,,,,,Player4,+82.40,2 回,164.8
ロン,0 回,0.0%,,20,三暗刻,0 回,0.00%,3 位,,,,,,,,
放銃,0 回,0.0%,,21,三槓子,0 回,0.00%,3 位,,,,,,,,
連続アガリ,0 回,0 回,,22,対々和,0 回,0.00%,1 位,,,,,,,,
連続無放銃,0 回,20 回,,23,小三元,0 回,0.00%,1 位,,,,,,,,
平均アガリ点,16550,66200,,24,混老頭,0 回,0.00%,3 位,,,,,,,,
平均放銃点,0,0,,25,七対子,0 回,0.00%,3 位,,,,,,,,
最大ドラ数,0 個,,,26,二盃口,0 回,0.00%,1 位,,,,,,,,
最大点数,15000,,,27,純チャン,0 回,0.00%,1 位,,,,,,,,
チョンボ,0 回,0.0%,,28,混一色,0 回,0.00%,1 位,,,,,,,,
,,,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,
,,,,30,清一色,0 回,0.00%,1 位,,,,,,,,
,,,,31,国士無双,0 回,0.00%,1 位,,,,,,,,
,,,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.00%,1 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
,,,,37,緑一色,0 回,0.00%,3 位,,,,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
,,,,42,地和,0 回,0.00%,1 位,,,,,,,,
,,,,43,人和,0 回,0.00%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.00%,3 位,,,,,,,,
,,,,52,赤ドラ,0 回,0.00%,3 位,,,,,,,,
