"タイムスタンプ","活動を通して学べたことはなんですか？(麻雀のことに限らず)","活動を始める前と後で、学業成績はどうなりましたか？","これからも活動を続けたいと思いますか？","上記の問で「はい」と答えた方への質問です。活動を通してどんなことができるようになりましたか？","上記の問で「いいえ」と答えた方への質問です。どのような点を改善するべきだと思いますか？","活動を通して、感想・意見・要望等がありましたらお聞かせください。"
"2020/02/22 9:07:49 午前 GMT+9","相手の動作を意識できるようになり、相手がなにを考えているかより深く思考できるようになった。","変わらなかった","はい","相手の動作を意識できるようになり、相手がなにを考えているかより深く思考できるようになった。","","活動場所に置き時計か時間のわかるものが欲しい"
"2020/02/22 9:39:55 午前 GMT+9","時間が限られた中で麻雀を行うこと
危険牌の予測が少しできるようになった","変わらなかった","はい","前述したとおり","","金曜日はよく帰省するのであまり活動に参加できないため曜日を変えてほしいです。"
"2020/02/22 9:55:20 午前 GMT+9","瞬時に判断することの大切さ 試合中の緊張感","変わらなかった","はい","自分の手牌を見て瞬時にどの役を作ろうと判断できるようになった","","とても楽しかったです"
"2020/02/22 11:02:48 午前 GMT+9","仲間の大切さ","良くなった","はい","集中力が向上した。","","活動日が週2日ほどあると良いと思う"
"2020/02/22 8:53:42 午後 GMT+9","状況判断について","良くなった","はい","マナーを遵守したプレイ","",""
"2020/02/22 10:48:05 午後 GMT+9","コミュニケーション、ネット麻雀では学べない麻雀の技術","良くなった","はい","麻雀に関して、技術面、思考面等共に向上した。","","学生は特に、現実では、なかなか麻雀ができる機会がないため、競技麻雀同好会があるということが嬉しいです。今後も活動できたら嬉しく思います。"
"2020/02/25 10:25:05 午前 GMT+9","チームワーク的行動","変わらなかった","はい","麻雀の基礎的なルールはもちろん、webサイトを作ったことでフロントサイドの知識も身につけることができた。","",""
"2020/02/25 10:28:20 午前 GMT+9","集中力","変わらなかった","はい","","",""
"2020/02/25 10:43:42 午前 GMT+9","いつも家族や友達と打っている麻雀とは違い、時間に制限があり、早い流れの中で打つ麻雀はかなり気力が必要で、最初のうちは1試合を終えただけでヘトヘトになっていた。
しかし、活動を続けているうちに、自分の手牌だけでなく場をしっかり見渡せる余裕が出てきて、2試合を打ち切れるだけの技術を身につけることができた。","良くなった","はい","自分の手牌だけを見る第一者的な視点だけでなく、相手から自分の手がどんなふうに見えているのかという第二者的視点、さらには、場全体を見渡す第三者的視点で麻雀を打てるようになった。
これによって麻雀だけでなく、日常生活でも相手の立場に立って気を使うことができるようになった。","","家族や友達と楽しく打つ麻雀ではなく、同好会の活動で「競技麻雀」としての麻雀を打つ活動を通して人間として成長できた点がいくつもあった。
「あいさつ」「礼儀」といった基本的なマナーから始まり、審判の元に行われる厳正雰囲気な雰囲気の中、自分のペースを崩さずに打ち切る精神力、僅かな時間でも思考を巡らせ最善の選択をする判断力など、身に付いた技術がたくさんあった。
競技麻雀同好会の活動が継続できることになれば、さらに細かい技術を磨き、人間力を高めて行きたいと思う。"
"2020/02/25 10:59:11 午前 GMT+9","時間通りに進行させ、スムーズに試合を行うための同卓との連携力
あがり役の見通しや手を早く進めるための判断力、即決力、考察力","変わらなかった","はい","上記に示した連携
短時間での判断
スコアボードから自分の弱点を考察すること","",""
"2020/02/25 11:14:53 午前 GMT+9","挨拶、マナーの大切さ","変わらなかった","はい","マルチタスクな行動、的確な状況判断","","ぜひとも、来年も活動したいです"
"2020/02/25 11:36:49 午前 GMT+9","視野を広げることや、様々な可能性を考慮することの大切さです。自分の思いつかなかった手がいくらでもあると気づいたとき、麻雀以外の面でも、狭い範囲だけを見たり、ひとつの考えしか持たなかったりしてはだめだなと学びました。","変わらなかった","はい","まだまだ十分とは言えませんが、色々な手の可能性を考えるようになりました。また、競技であることを踏まえ、活動では挨拶を大切にしていたので、以前よりさらに普段の挨拶を意識して行うようになったと思います。","","進路の関係で、来年度の初めはあまりいけないと思いますが、落ち着いたら毎回行くつもりです。そして、活動を通して麻雀のきちんとした型を身につけることはもちろん、冷静さ、集中力、精神力なども磨いていきます。"
"2020/02/26 11:18:42 午前 GMT+9","牌山の積み方など","変わらなかった","はい","","",""
